date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:08:18	216466/216466	---M-Z	200	added ('OK')	text/html	etag:%2234d92-6874d87e-c28e8e0b9c06762d;gz%22	https://html.themexriver.com/forgex/index.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/index.html	(from )
10:08:20	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-a715ba4a0a407933;gz%22	https://html.themexriver.com/robots.txt		(from )
10:08:20	1149/1149	---M--	200	added ('OK')	image/png	etag:%2247d-6874d87e-461bdc4bf68952b3;;;%22	https://html.themexriver.com/forgex/assets/img/favicon.png	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/favicon.png	(from https://html.themexriver.com/forgex/index.html)
10:08:20	194907/194907	---M-Z	200	added ('OK')	text/css	etag:%222f95b-6874d87e-f5730b819870e362;gz%22	https://html.themexriver.com/forgex/assets/css/bootstrap.min.css	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/css/bootstrap.min.css	(from https://html.themexriver.com/forgex/index.html)
10:08:21	4145/4145	---M-Z	200	added ('OK')	text/css	etag:%221031-6874d87e-a3e72bfb008f39ac;gz%22	https://html.themexriver.com/forgex/assets/css/nice-select.css	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/css/nice-select.css	(from https://html.themexriver.com/forgex/index.html)
10:08:21	18448/18448	---M-Z	200	added ('OK')	text/css	etag:%224810-6874d87e-f933babbb1734de8;gz%22	https://html.themexriver.com/forgex/assets/css/swiper.min.css	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/css/swiper.min.css	(from https://html.themexriver.com/forgex/index.html)
10:08:21	520515/520515	---M-Z	200	added ('OK')	text/css	etag:%227f143-6874d87e-9b293de22032e374;gz%22	https://html.themexriver.com/forgex/assets/css/all.min.css	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/css/all.min.css	(from https://html.themexriver.com/forgex/index.html)
10:08:22	71742/71742	---M-Z	200	added ('OK')	text/css	etag:%221183e-6874d87e-ecf13679f28d4a72;gz%22	https://html.themexriver.com/forgex/assets/css/animate.css	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/css/animate.css	(from https://html.themexriver.com/forgex/index.html)
10:08:22	7611/7611	---M-Z	200	added ('OK')	text/css	etag:%221dbb-6874d87e-ee6e82851a072756;gz%22	https://html.themexriver.com/forgex/assets/css/magnific-popup.css	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/css/magnific-popup.css	(from https://html.themexriver.com/forgex/index.html)
10:08:22	346421/346421	---M-Z	200	added ('OK')	text/css	etag:%2254935-6874d87e-8fb137397ab3c802;gz%22	https://html.themexriver.com/forgex/assets/css/main.css	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/css/main.css	(from https://html.themexriver.com/forgex/index.html)
10:08:23	12528/12528	---M-Z	200	added ('OK')	image/svg+xml	etag:%2230f0-6874d87e-c9518859409a2f0d;gz%22	https://html.themexriver.com/forgex/assets/img/logo/logo-1.svg	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/logo/logo-1.svg	(from https://html.themexriver.com/forgex/index.html)
10:08:23	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-a715ba4a0a407933;gz%22	https://html.themexriver.com/forgex/!	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/!	(from https://html.themexriver.com/forgex/index.html)
10:08:23	660316/660316	---M--	200	added ('OK')	image/gif	etag:%22a135c-6874d87e-79a68249fbf010ea;;;%22	https://html.themexriver.com/forgex/assets/img/preloader.gif	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/assets/img/preloader.gif	(from https://html.themexriver.com/forgex/index.html)
10:08:23	172377/172377	---M-Z	200	added ('OK')	text/html	etag:%222a159-6874d87e-46f5f3052e6ac34f;gz%22	https://html.themexriver.com/forgex/index-2.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/index-2.html	(from https://html.themexriver.com/forgex/index.html)
10:08:23	173524/173524	---M-Z	200	added ('OK')	text/html	etag:%222a5d4-6874d87e-4c3160d4e0e1a0bd;gz%22	https://html.themexriver.com/forgex/index-3.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/index-3.html	(from https://html.themexriver.com/forgex/index.html)
10:08:23	143309/143309	---M-Z	200	added ('OK')	text/html	etag:%2222fcd-6874d87e-d16f3e6b1351a9c7;gz%22	https://html.themexriver.com/forgex/index-4.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/index-4.html	(from https://html.themexriver.com/forgex/index.html)
10:08:24	140832/140832	---M-Z	200	added ('OK')	text/html	etag:%2222620-6874d87e-f637f782388e99cf;gz%22	https://html.themexriver.com/forgex/index-5.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/index-5.html	(from https://html.themexriver.com/forgex/index.html)
10:08:24	124820/124820	---M-Z	200	added ('OK')	text/html	etag:%221e794-6874d87e-cfa3f23733a9e25e;gz%22	https://html.themexriver.com/forgex/index-6.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/index-6.html	(from https://html.themexriver.com/forgex/index.html)
10:08:24	136454/136454	---M-Z	200	added ('OK')	text/html	etag:%2221506-6874d87f-518c18f3147f7cf8;gz%22	https://html.themexriver.com/forgex/about.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/about.html	(from https://html.themexriver.com/forgex/index.html)
10:08:24	110856/110856	---M-Z	200	added ('OK')	text/html	etag:%221b108-6874d87e-d2502c9957ef529f;gz%22	https://html.themexriver.com/forgex/services.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/services.html	(from https://html.themexriver.com/forgex/index.html)
10:08:25	164605/164605	---M-Z	200	added ('OK')	text/html	etag:%22282fd-6874d87e-2776db1fbcdf970a;gz%22	https://html.themexriver.com/forgex/services-details.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/services-details.html	(from https://html.themexriver.com/forgex/index.html)
10:08:25	100605/100605	---M-Z	200	added ('OK')	text/html	etag:%22188fd-6874d87e-5414cf112e5803b5;gz%22	https://html.themexriver.com/forgex/team.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/team.html	(from https://html.themexriver.com/forgex/index.html)
10:08:25	90105/90105	---M-Z	200	added ('OK')	text/html	etag:%2215ff9-6874d87e-7c8df51b3aa76d05;gz%22	https://html.themexriver.com/forgex/team-details.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/team-details.html	(from https://html.themexriver.com/forgex/index.html)
10:08:25	129737/129737	---M-Z	200	added ('OK')	text/html	etag:%221fac9-6874d87e-260fe195fdd1bdd5;gz%22	https://html.themexriver.com/forgex/career.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/career.html	(from https://html.themexriver.com/forgex/index.html)
10:08:25	98777/98777	---M-Z	200	added ('OK')	text/html	etag:%22181d9-6874d87e-3f0f616e88a0217c;gz%22	https://html.themexriver.com/forgex/career-single.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/career-single.html	(from https://html.themexriver.com/forgex/index.html)
10:08:26	92007/92007	---M-Z	200	added ('OK')	text/html	etag:%2216767-6874d87e-c27787f6517de8c;gz%22	https://html.themexriver.com/forgex/job-apply.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/job-apply.html	(from https://html.themexriver.com/forgex/index.html)
10:08:26	89627/89627	---M-Z	200	added ('OK')	text/html	etag:%2215e1b-6874d87e-e398e2c76d94489d;gz%22	https://html.themexriver.com/forgex/clients.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/clients.html	(from https://html.themexriver.com/forgex/index.html)
10:08:26	96099/96099	---M-Z	200	added ('OK')	text/html	etag:%2217763-6874d87e-afffeba372f7cf5a;gz%22	https://html.themexriver.com/forgex/faqs.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/faqs.html	(from https://html.themexriver.com/forgex/index.html)
10:08:26	139176/139176	---M-Z	200	added ('OK')	text/html	etag:%2221fa8-6874d87e-69d2340659fbf6d7;gz%22	https://html.themexriver.com/forgex/pricing.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/pricing.html	(from https://html.themexriver.com/forgex/index.html)
10:08:26	94802/94802	---M-Z	200	added ('OK')	text/html	etag:%2217252-6874d87e-4524b1e498fe8674;gz%22	https://html.themexriver.com/forgex/process.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/process.html	(from https://html.themexriver.com/forgex/index.html)
10:08:27	89552/89552	---M-Z	200	added ('OK')	text/html	etag:%2215dd0-6874d87e-9bc46aa9e38688e5;gz%22	https://html.themexriver.com/forgex/testimonial.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/testimonial.html	(from https://html.themexriver.com/forgex/index.html)
10:08:27	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-a715ba4a0a407933;gz%22	https://html.themexriver.com/forgex/error.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/error.html	(from https://html.themexriver.com/forgex/index.html)
10:08:27	93747/93747	---M-Z	200	added ('OK')	text/html	etag:%2216e33-6874d87e-f24d8dd7801b0846;gz%22	https://html.themexriver.com/forgex/projects-1.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/projects-1.html	(from https://html.themexriver.com/forgex/index.html)
10:08:27	97742/97742	---M-Z	200	added ('OK')	text/html	etag:%2217dce-6874d87e-87d8772f15ce9139;gz%22	https://html.themexriver.com/forgex/projects-2.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/projects-2.html	(from https://html.themexriver.com/forgex/index.html)
10:08:28	101982/101982	---M-Z	200	added ('OK')	text/html	etag:%2218e5e-6874d87e-8fe07f75cbcf0724;gz%22	https://html.themexriver.com/forgex/projects-3.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/projects-3.html	(from https://html.themexriver.com/forgex/index.html)
10:08:28	93302/93302	---M-Z	200	added ('OK')	text/html	etag:%2216c76-6874d87e-8e0380133ca756c;gz%22	https://html.themexriver.com/forgex/projects-4.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/projects-4.html	(from https://html.themexriver.com/forgex/index.html)
10:08:28	87357/87357	---M-Z	200	added ('OK')	text/html	etag:%221553d-6874d87e-4766e8cf9bea66bb;gz%22	https://html.themexriver.com/forgex/projects-details.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/projects-details.html	(from https://html.themexriver.com/forgex/index.html)
10:08:28	92192/92192	---M-Z	200	added ('OK')	text/html	etag:%2216820-6874d87f-82682726182f3f6a;gz%22	https://html.themexriver.com/forgex/blog.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/blog.html	(from https://html.themexriver.com/forgex/index.html)
10:08:28	102716/102716	---M-Z	200	added ('OK')	text/html	etag:%221913c-6874d87f-b467e08edd3a872f;gz%22	https://html.themexriver.com/forgex/blog-2.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/blog-2.html	(from https://html.themexriver.com/forgex/index.html)
10:08:29	102778/102778	---M-Z	200	added ('OK')	text/html	etag:%221917a-6874d87e-526f2a48829e7c48;gz%22	https://html.themexriver.com/forgex/blog-3.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/blog-3.html	(from https://html.themexriver.com/forgex/index.html)
10:08:29	128901/128901	---M-Z	200	added ('OK')	text/html	etag:%221f785-6874d87e-27c10d1b1ed28446;gz%22	https://html.themexriver.com/forgex/blog-4.html	D:/Makes360Workspace/ForgeX/ForgeX/html.themexriver.com/forgex/blog-4.html	(from https://html.themexriver.com/forgex/index.html)
